Description,Class
Natural Gas Supply - Chemical Storage Gas Meter Reading,Heating
Heating Service - Office Building 2 Winter Season,Heating
Propane Purchase - Drying Ovens Gas Meter Reading,Heating
Water Supply - Production Site Q2,Water
Hazardous Waste Pickup - Solvent Waste Q1,Waste Disposal
Heating Service - Chemical Storage February,Heating
Scrap Metal Hauling - Solvent Waste Monthly Fee,Waste Disposal
Chemical Waste Removal - General Refuse Bi-Weekly Pickup,Waste Disposal
Gas Consumption - Chemical Storage October,Heating
Utility Water Bill - Laboratory April,Water
Utility Water Bill - Cooling Tower Meter Reading,Water
Gas Consumption - Chemical Storage Gas Meter Reading,Heating
Fuel Oil Delivery - Office Building 2 Winter Season,Heating
Refuse Collection - Solvent Waste Monthly Fee,Waste Disposal
Kwh Usage - North Warehouse (Year-End),Electricity
Electrical Service - R&D Lab (Q3),Electricity
Propane Purchase - Boiler Room Monthly,Heating
Hazardous Waste Pickup - Pallet Disposal Q1,Waste Disposal
H2O Billing - Admin Block Monthly Invoice,Water
H2O Billing - Cooling Tower July,Water
Heating Service - Manufacturing Area Gas Meter Reading,Heating
Scrap Metal Hauling - Industrial Debris Weekly Service,Waste Disposal
Water Charges - Irrigation System Q3,Water
Municipal Water - Fire Sprinklers April,Water
Propane Purchase - Drying Ovens October,Heating
Heating Service - Drying Ovens Monthly,Heating
Water Supply - Laboratory Q3,Water
Natural Gas Supply - Office Building 2 Gas Meter Reading,Heating
Waste Disposal - General Refuse Weekly Service,Waste Disposal
Power Consumption - Data Center (Quarterly),Electricity
Kwh Usage - Data Center (Quarterly),Electricity
Water Supply - Fire Sprinklers July,Water
Utility Water Bill - Laboratory Monthly Invoice,Water
Water Supply - Cooling Tower July,Water
Natural Gas Supply - Warehouse Winter Season,Heating
Water Supply - Production Site Monthly Invoice,Water
Water Supply - Fire Sprinklers Annual Fee,Water
Kwh Usage - Production Line 3 (Semi-Annual),Electricity
Municipal Water - Admin Block April,Water
Fuel Oil Delivery - Office Building 2 Q4,Heating
Kwh Usage - Corporate Office (Q3),Electricity
Chemical Waste Removal - Recyclable Materials Bi-Weekly Pickup,Waste Disposal
Electrical Service - North Warehouse (Q3),Electricity
Electricity Supply - North Warehouse (Semi-Annual),Electricity
Utility Water Bill - Admin Block April,Water
Heating Service - Office Building 2 Winter Season,Heating
Electricity Supply - North Warehouse (Year-End),Electricity
Chemical Waste Removal - Recyclable Materials Bi-Weekly Pickup,Waste Disposal
Grid Charge - Main Plant (Monthly),Electricity
Power Consumption - R&D Lab (Monthly),Electricity
Power Consumption - R&D Lab (Monthly),Electricity
Kwh Usage - Corporate Office (Monthly),Electricity
Refuse Collection - Solvent Waste Q1,Waste Disposal
Grid Charge - North Warehouse (December),Electricity
Power Consumption - Production Line 3 (Q1),Electricity
Refuse Collection - Pallet Disposal Q1,Waste Disposal
Electricity Supply - Corporate Office (Year-End),Electricity
Waste Disposal - Pallet Disposal Monthly Fee,Waste Disposal
Power Consumption - North Warehouse (Monthly),Electricity
Natural Gas Supply - Chemical Storage February,Heating
Waste Disposal - Solvent Waste Monthly Fee,Waste Disposal
Heating Service - Chemical Storage Q4,Heating
Hazardous Waste Pickup - General Refuse Weekly Service,Waste Disposal
Municipal Water - Fire Sprinklers April,Water
Hazardous Waste Pickup - General Refuse Container Emptying,Waste Disposal
Water Charges - Cooling Tower July,Water
Hazardous Waste Pickup - Solvent Waste Weekly Service,Waste Disposal
Natural Gas Supply - Boiler Room October,Heating
Gas Consumption - Boiler Room Q4,Heating
Heating Service - Chemical Storage Monthly,Heating
Scrap Metal Hauling - Recyclable Materials Q1,Waste Disposal
Hazardous Waste Pickup - Industrial Debris Container Emptying,Waste Disposal
Utility Water Bill - Cooling Tower Annual Fee,Water
Propane Purchase - Drying Ovens Monthly,Heating
Heating Service - Office Building 2 February,Heating
Water Supply - Fire Sprinklers Monthly Invoice,Water
Kwh Usage - Main Plant (Quarterly),Electricity
Electrical Service - R&D Lab (Quarterly),Electricity
Propane Purchase - Office Building 2 Winter Season,Heating
Water Supply - Fire Sprinklers Q3,Water
Refuse Collection - Industrial Debris Weekly Service,Waste Disposal
Scrap Metal Hauling - General Refuse Monthly Fee,Waste Disposal
Gas Consumption - Drying Ovens October,Heating
Water Supply - Production Site Q3,Water
Water Charges - Production Site Monthly Invoice,Water
Refuse Collection - Pallet Disposal Container Emptying,Waste Disposal
Heating Service - Warehouse Winter Season,Heating
Electrical Service - Production Line 3 (Semi-Annual),Electricity
Gas Consumption - Drying Ovens Winter Season,Heating
Hazardous Waste Pickup - Pallet Disposal Q1,Waste Disposal
Hazardous Waste Pickup - Pallet Disposal Q1,Waste Disposal
Refuse Collection - Industrial Debris Bi-Weekly Pickup,Waste Disposal
Heating Service - Warehouse October,Heating
Natural Gas Supply - Warehouse February,Heating
Scrap Metal Hauling - Industrial Debris Bi-Weekly Pickup,Waste Disposal
Natural Gas Supply - Chemical Storage Monthly,Heating
Utility Water Bill - Production Site Monthly Invoice,Water
Water Charges - Production Site Q3,Water
H2O Billing - Production Site Annual Fee,Water
H2O Billing - Fire Sprinklers Annual Fee,Water
Fuel Oil Delivery - Chemical Storage Q4,Heating
Scrap Metal Hauling - Recyclable Materials Bi-Weekly Pickup,Waste Disposal
Refuse Collection - Pallet Disposal Monthly Fee,Waste Disposal
Water Charges - Fire Sprinklers Monthly Invoice,Water
Chemical Waste Removal - Industrial Debris Q1,Waste Disposal
Natural Gas Supply - Drying Ovens Gas Meter Reading,Heating
Electrical Service - R&D Lab (Q3),Electricity
Hazardous Waste Pickup - Recyclable Materials Bi-Weekly Pickup,Waste Disposal
Fuel Oil Delivery - Warehouse February,Heating
Electrical Service - North Warehouse (Q3),Electricity
Water Supply - Admin Block July,Water
Heating Service - Chemical Storage Winter Season,Heating
Water Charges - Laboratory July,Water
Scrap Metal Hauling - Pallet Disposal Container Emptying,Waste Disposal
Kwh Usage - Data Center (Semi-Annual),Electricity
Power Consumption - North Warehouse (Year-End),Electricity
Heating Service - Chemical Storage Peak Demand,Heating
Grid Charge - Data Center (Monthly),Electricity
Refuse Collection - Solvent Waste Q1,Waste Disposal
Refuse Collection - Pallet Disposal Q1,Waste Disposal
Waste Disposal - Recyclable Materials Container Emptying,Waste Disposal
Electricity Supply - Packaging Facility (Q1),Electricity
Gas Consumption - Warehouse Q4,Heating
Municipal Water - Admin Block July,Water
Kwh Usage - Main Plant (Q1),Electricity
Power Consumption - Corporate Office (January),Electricity
Utility Water Bill - Irrigation System April,Water
Scrap Metal Hauling - Recyclable Materials Weekly Service,Waste Disposal
Water Charges - Irrigation System Annual Fee,Water
Scrap Metal Hauling - General Refuse Bi-Weekly Pickup,Waste Disposal
Electricity Supply - Production Line 3 (Quarterly),Electricity
Electrical Service - Main Plant (Q3),Electricity
Propane Purchase - Manufacturing Area Monthly,Heating
Scrap Metal Hauling - Industrial Debris Container Emptying,Waste Disposal
H2O Billing - Admin Block April,Water
Propane Purchase - Warehouse Gas Meter Reading,Heating
Water Supply - Irrigation System Q3,Water
Utility Water Bill - Fire Sprinklers April,Water
Kwh Usage - Corporate Office (Q3),Electricity
Scrap Metal Hauling - General Refuse Monthly Fee,Waste Disposal
Hazardous Waste Pickup - Solvent Waste Q1,Waste Disposal
Electricity Supply - Main Plant (January),Electricity
Electrical Service - Production Line 3 (January),Electricity
Water Charges - Laboratory Meter Reading,Water
Electricity Supply - Data Center (December),Electricity
Power Consumption - North Warehouse (Year-End),Electricity
H2O Billing - Cooling Tower Monthly Invoice,Water
Water Charges - Fire Sprinklers Annual Fee,Water
Chemical Waste Removal - General Refuse Weekly Service,Waste Disposal
Grid Charge - North Warehouse (January),Electricity
Fuel Oil Delivery - Chemical Storage Gas Meter Reading,Heating
H2O Billing - Cooling Tower Q2,Water
Fuel Oil Delivery - Warehouse October,Heating
Heating Service - Office Building 2 October,Heating
Hazardous Waste Pickup - Industrial Debris Weekly Service,Waste Disposal
Water Supply - Cooling Tower Meter Reading,Water
Municipal Water - Laboratory Annual Fee,Water
Municipal Water - Admin Block July,Water
H2O Billing - Admin Block July,Water
Municipal Water - Laboratory Monthly Invoice,Water
Chemical Waste Removal - Industrial Debris Weekly Service,Waste Disposal
Water Supply - Production Site Meter Reading,Water
Kwh Usage - North Warehouse (Quarterly),Electricity
Electrical Service - Production Line 3 (Monthly),Electricity
Kwh Usage - Data Center (Q1),Electricity
Water Supply - Cooling Tower July,Water
Scrap Metal Hauling - Solvent Waste Bi-Weekly Pickup,Waste Disposal
Fuel Oil Delivery - Drying Ovens October,Heating
Waste Disposal - Pallet Disposal Q1,Waste Disposal
Power Consumption - Packaging Facility (January),Electricity
Power Consumption - R&D Lab (Quarterly),Electricity
H2O Billing - Cooling Tower Annual Fee,Water
Water Charges - Admin Block Q3,Water
Water Supply - Irrigation System Q2,Water
Propane Purchase - Warehouse Monthly,Heating
Waste Disposal - Recyclable Materials Monthly Fee,Waste Disposal
Power Consumption - R&D Lab (December),Electricity
Refuse Collection - General Refuse Container Emptying,Waste Disposal
Water Charges - Cooling Tower Monthly Invoice,Water
Natural Gas Supply - Warehouse Q4,Heating
Hazardous Waste Pickup - Solvent Waste Bi-Weekly Pickup,Waste Disposal
Electrical Service - Packaging Facility (Q1),Electricity
Scrap Metal Hauling - Industrial Debris Q1,Waste Disposal
Scrap Metal Hauling - Recyclable Materials Q1,Waste Disposal
Gas Consumption - Boiler Room Peak Demand,Heating
Water Charges - Laboratory Q3,Water
Fuel Oil Delivery - Warehouse Q4,Heating
Heating Service - Chemical Storage Gas Meter Reading,Heating
Fuel Oil Delivery - Warehouse Winter Season,Heating
Hazardous Waste Pickup - Pallet Disposal Weekly Service,Waste Disposal
Kwh Usage - Production Line 3 (Monthly),Electricity
Electrical Service - Data Center (January),Electricity
Water Supply - Laboratory Annual Fee,Water
Water Supply - Production Site Annual Fee,Water
Water Charges - Fire Sprinklers Q2,Water
Electricity Supply - Production Line 3 (Year-End),Electricity
Propane Purchase - Warehouse Gas Meter Reading,Heating
Chemical Waste Removal - Pallet Disposal Monthly Fee,Waste Disposal
Waste Disposal - General Refuse Q1,Waste Disposal
Power Consumption - Data Center (Q3),Electricity
Scrap Metal Hauling - Solvent Waste Weekly Service,Waste Disposal
Electricity Supply - Corporate Office (Q1),Electricity
Waste Disposal - Solvent Waste Bi-Weekly Pickup,Waste Disposal
Kwh Usage - Main Plant (December),Electricity
Scrap Metal Hauling - Pallet Disposal Bi-Weekly Pickup,Waste Disposal
H2O Billing - Production Site Monthly Invoice,Water
Municipal Water - Fire Sprinklers Annual Fee,Water
Waste Disposal - Recyclable Materials Monthly Fee,Waste Disposal
H2O Billing - Admin Block Annual Fee,Water
Fuel Oil Delivery - Chemical Storage Peak Demand,Heating
Gas Consumption - Manufacturing Area Q4,Heating
Hazardous Waste Pickup - Pallet Disposal Weekly Service,Waste Disposal
Water Charges - Admin Block Monthly Invoice,Water
Chemical Waste Removal - Recyclable Materials Weekly Service,Waste Disposal
Kwh Usage - Packaging Facility (January),Electricity
Kwh Usage - North Warehouse (December),Electricity
Grid Charge - Data Center (Quarterly),Electricity
Kwh Usage - Data Center (Monthly),Electricity
Grid Charge - Main Plant (Q1),Electricity
Heating Service - Boiler Room Q4,Heating
Refuse Collection - Industrial Debris Q1,Waste Disposal
Scrap Metal Hauling - Industrial Debris Weekly Service,Waste Disposal
Propane Purchase - Boiler Room October,Heating
Propane Purchase - Boiler Room Peak Demand,Heating
Fuel Oil Delivery - Chemical Storage Peak Demand,Heating
Scrap Metal Hauling - General Refuse Bi-Weekly Pickup,Waste Disposal
Scrap Metal Hauling - Solvent Waste Container Emptying,Waste Disposal
Water Supply - Admin Block Q3,Water
Utility Water Bill - Laboratory April,Water
Fuel Oil Delivery - Drying Ovens Winter Season,Heating
Electricity Supply - Packaging Facility (Q3),Electricity
Refuse Collection - Recyclable Materials Q1,Waste Disposal
Electricity Supply - North Warehouse (Q1),Electricity
Power Consumption - R&D Lab (Q1),Electricity
Water Supply - Production Site Monthly Invoice,Water
Gas Consumption - Warehouse Q4,Heating
Fuel Oil Delivery - Manufacturing Area Monthly,Heating
Municipal Water - Irrigation System April,Water
Water Charges - Fire Sprinklers April,Water
Electricity Supply - R&D Lab (Monthly),Electricity
Gas Consumption - Drying Ovens October,Heating
Water Supply - Laboratory Monthly Invoice,Water
Water Supply - Production Site Q3,Water
Kwh Usage - Production Line 3 (Q1),Electricity
H2O Billing - Fire Sprinklers Q2,Water
Scrap Metal Hauling - Recyclable Materials Weekly Service,Waste Disposal
Waste Disposal - Industrial Debris Monthly Fee,Waste Disposal
H2O Billing - Cooling Tower Meter Reading,Water
Utility Water Bill - Admin Block April,Water
Natural Gas Supply - Office Building 2 Gas Meter Reading,Heating
Natural Gas Supply - Drying Ovens February,Heating
H2O Billing - Fire Sprinklers July,Water
Grid Charge - Main Plant (Q1),Electricity
Electricity Supply - Corporate Office (Year-End),Electricity
Electricity Supply - Packaging Facility (Q1),Electricity
Electricity Supply - North Warehouse (January),Electricity
Fuel Oil Delivery - Manufacturing Area October,Heating
Utility Water Bill - Laboratory July,Water
Gas Consumption - Boiler Room February,Heating
Natural Gas Supply - Chemical Storage Q4,Heating
H2O Billing - Irrigation System July,Water
Scrap Metal Hauling - Industrial Debris Monthly Fee,Waste Disposal
Electricity Supply - Corporate Office (Quarterly),Electricity
Water Supply - Admin Block Monthly Invoice,Water
Natural Gas Supply - Office Building 2 Gas Meter Reading,Heating
Waste Disposal - Solvent Waste Weekly Service,Waste Disposal
Power Consumption - Production Line 3 (December),Electricity
Utility Water Bill - Fire Sprinklers April,Water
Refuse Collection - Industrial Debris Container Emptying,Waste Disposal
H2O Billing - Cooling Tower Q2,Water
Electrical Service - R&D Lab (Q1),Electricity
Propane Purchase - Boiler Room Q4,Heating
Natural Gas Supply - Office Building 2 Gas Meter Reading,Heating
Water Supply - Admin Block Meter Reading,Water
Propane Purchase - Warehouse Monthly,Heating
Propane Purchase - Office Building 2 Gas Meter Reading,Heating
Scrap Metal Hauling - General Refuse Q1,Waste Disposal
Electricity Supply - Corporate Office (January),Electricity
Hazardous Waste Pickup - General Refuse Container Emptying,Waste Disposal
Utility Water Bill - Laboratory Meter Reading,Water
Hazardous Waste Pickup - Recyclable Materials Monthly Fee,Waste Disposal
Electricity Supply - R&D Lab (Q3),Electricity
Gas Consumption - Warehouse February,Heating
Fuel Oil Delivery - Warehouse Winter Season,Heating
Kwh Usage - Production Line 3 (Q1),Electricity
Chemical Waste Removal - Industrial Debris Container Emptying,Waste Disposal
Utility Water Bill - Irrigation System July,Water
Gas Consumption - Chemical Storage Winter Season,Heating
Chemical Waste Removal - General Refuse Monthly Fee,Waste Disposal
Grid Charge - Production Line 3 (Monthly),Electricity
Natural Gas Supply - Manufacturing Area Gas Meter Reading,Heating
Waste Disposal - General Refuse Monthly Fee,Waste Disposal
Electricity Supply - Main Plant (Year-End),Electricity
